,player name,LEBRON,O-LEBRON,D-LEBRON,Wins Added,boxLEBRON,boxOLEBRON,boxDLEBRON
0,Nikola Jokic,7.25,5.39,1.86,8.9,6.37,4.91,1.45
1,Stephen Curry,4.71,4.18,0.52,7.5,4.8,4.07,0.73
2,Chris Paul,4.14,2.86,1.28,6.9,4.56,2.54,2.02
3,James Harden,3.3,3.78,-0.49,5.8,3.38,3.18,0.2
4,Jayson Tatum,3.18,2.74,0.44,6.4,2.65,2.19,0.46
5,Fred VanVleet,2.89,2.45,0.44,5.7,1.96,2.2,-0.23
6,Dejounte Murray,2.63,2.36,0.27,5.1,2.88,2.23,0.65
7,Jaren Jackson Jr.,2.63,0.35,2.28,4.8,2.29,0.23,2.06
8,Karl-Anthony Towns,2.29,2.54,-0.25,4.6,2.09,2.03,0.06
9,Domantas Sabonis,2.18,1.68,0.49,4.8,1.86,1.85,0.01
10,Trae Young,2.15,4.67,-2.52,4.6,2.46,4.47,-2.0
11,Andrew Wiggins,1.78,0.64,1.15,4.1,1.91,1.04,0.86
12,DeMar DeRozan,1.73,2.45,-0.72,4.2,1.74,2.58,-0.83
13,Anthony Edwards,1.65,1.73,-0.07,4.1,0.81,1.29,-0.48
14,Darius Garland,1.61,1.42,0.19,4.0,1.25,1.48,-0.23
15,Evan Mobley,1.52,-0.9,2.42,3.8,1.32,-0.76,2.08
16,Miles Bridges,1.47,1.84,-0.36,4.4,0.98,1.3,-0.32
17,Shai Gilgeous-Alexander,1.41,1.63,-0.22,3.7,0.39,0.62,-0.24
18,Desmond Bane,1.27,0.96,0.31,3.5,1.05,1.07,-0.02
19,Royce O'Neale,0.98,-0.29,1.27,3.3,1.12,-0.27,1.39
20,Jalen Brunson,0.97,1.58,-0.61,3.4,0.64,0.8,-0.16
21,Mikal Bridges,0.55,-0.37,0.92,3.2,0.87,-0.37,1.24
22,Tobias Harris,0.47,0.88,-0.41,2.7,0.88,0.83,0.05
23,Dorian Finney-Smith,0.42,-0.1,0.52,2.9,0.27,-0.64,0.9
24,Aaron Gordon,0.29,1.0,-0.71,2.5,0.33,0.39,-0.06
25,Tyrese Haliburton,0.21,0.8,-0.59,2.8,0.27,0.84,-0.57
26,Kyle Kuzma,0.16,0.25,-0.09,2.5,0.37,0.06,0.32
27,Patty Mills,0.12,1.45,-1.34,2.4,-0.71,0.57,-1.27
28,Scottie Barnes,0.03,-0.62,0.65,2.3,-0.17,-0.38,0.22
29,Christian Wood,0.01,-0.14,0.16,2.3,0.54,0.57,-0.03
30,Bojan Bogdanovic,-0.01,1.42,-1.43,2.3,0.8,1.94,-1.15
31,Julius Randle,-0.26,-0.29,0.03,2.4,0.53,0.11,0.42
32,Reggie Jackson,-0.42,0.0,-0.42,1.9,-0.84,0.11,-0.95
33,Tyrese Maxey,-0.42,0.61,-1.03,1.9,0.13,0.43,-0.3
34,Gordon Hayward,-0.46,-0.06,-0.41,1.8,-0.2,0.62,-0.82
35,Russell Westbrook,-0.47,0.33,-0.8,2.2,-0.18,0.23,-0.41
36,Seth Curry,-0.65,-0.03,-0.62,1.6,-0.65,-0.06,-0.59
37,Keldon Johnson,-0.86,-0.79,-0.07,1.4,-0.8,-0.34,-0.46
38,Franz Wagner,-1.04,-0.8,-0.24,1.4,-2.06,-1.32,-0.74
39,De'Aaron Fox,-1.08,1.0,-2.08,1.2,-0.77,0.51,-1.28
40,Harrison Barnes,-1.14,0.76,-1.9,1.2,-0.83,0.48,-1.32
41,Buddy Hield,-1.23,0.77,-2.01,1.1,-1.74,0.37,-2.11
42,Saddiq Bey,-1.52,-0.35,-1.17,0.9,-2.45,-0.97,-1.49
43,Luguentz Dort,-1.54,-0.94,-0.6,0.7,-1.73,-1.23,-0.49
44,Terance Mann,-1.78,-1.27,-0.5,0.5,-1.76,-1.43,-0.34
