,player name,box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
0,Nikola Jokic,8.8,5.8,14.6,7.5,2.9,10.3,8.9,5.5,14.5,20.5
1,Jayson Tatum,4.3,1.1,5.4,7.0,3.4,10.4,5.1,1.6,6.7,12.4
2,Giannis Antetokounmpo,6.1,1.9,7.9,3.0,2.4,5.4,5.7,2.1,7.8,11.2
3,Joel Embiid,4.3,3.4,7.8,2.3,2.4,4.7,4.2,3.4,7.6,11.0
4,Stephen Curry,5.6,-0.4,5.2,5.1,5.0,10.1,5.8,0.7,6.5,10.6
5,Fred VanVleet,4.1,1.1,5.2,1.2,2.1,3.3,3.7,1.3,5.1,9.2
6,Rudy Gobert,0.0,7.0,7.0,-0.7,3.8,3.1,-0.2,6.7,6.6,9.1
7,Luka Doncic,6.1,1.0,7.1,-0.4,-1.9,-2.3,5.2,0.4,5.5,9.0
8,Trae Young,7.6,-2.7,4.9,4.2,-3.8,0.4,7.3,-3.1,4.2,8.7
9,Devin Booker,4.2,0.5,4.6,4.0,-1.3,2.7,4.3,0.1,4.3,8.1
10,Jrue Holiday,2.8,1.9,4.7,7.6,-2.0,5.6,3.9,1.2,5.1,8.1
11,LeBron James,4.7,0.5,5.2,3.6,-3.1,0.5,4.8,-0.2,4.6,7.6
12,Mikal Bridges,0.4,1.0,1.5,7.9,-0.5,7.4,2.0,0.7,2.7,7.4
13,Kevin Durant,5.1,-0.7,4.5,3.5,3.3,6.9,5.1,0.1,5.2,7.4
14,Darius Garland,3.6,-1.1,2.5,6.5,1.9,8.4,4.4,-0.6,3.8,7.3
15,Domantas Sabonis,1.8,1.8,3.5,-0.3,3.0,2.7,1.4,2.2,3.6,7.0
16,Derrick White,1.2,3.2,4.3,-1.6,3.3,1.7,0.7,3.4,4.0,7.0
17,Terry Rozier,3.2,0.5,3.6,0.6,0.1,0.7,2.8,0.5,3.2,6.9
18,Jakob Poeltl,0.6,3.1,3.8,6.0,0.0,6.0,1.8,2.7,4.5,6.8
19,Miles Bridges,0.9,0.2,1.1,5.3,0.4,5.7,1.9,0.3,2.2,6.7
20,Dejounte Murray,2.9,-0.2,2.7,2.6,0.5,3.1,3.0,0.0,3.0,6.7
21,Jarrett Allen,0.2,4.3,4.6,0.8,2.0,2.7,0.4,4.0,4.4,6.6
22,Desmond Bane,2.8,0.8,3.6,2.5,-1.3,1.2,2.9,0.4,3.2,6.6
23,Marcus Smart,1.0,1.6,2.5,2.7,2.5,5.2,1.4,1.8,3.2,6.5
24,DeMar DeRozan,3.7,-2.4,1.3,3.8,0.9,4.7,3.9,-1.8,2.1,6.3
25,Mike Conley,3.1,0.7,3.8,-0.3,2.8,2.6,2.5,1.2,3.7,6.2
26,Chris Paul,4.5,-1.2,3.3,1.2,2.1,3.4,4.1,-0.6,3.4,6.2
27,Jimmy Butler,3.7,0.8,4.6,-0.2,1.0,0.7,3.1,0.9,4.0,6.1
28,Karl-Anthony Towns,2.8,-0.7,2.1,5.7,-2.4,3.2,3.5,-1.1,2.4,6.1
29,Donovan Mitchell,4.9,-2.3,2.6,5.5,-2.7,2.8,5.2,-2.5,2.6,5.9
30,Royce O'Neale,0.6,2.2,2.8,1.7,-1.8,-0.1,0.9,1.5,2.4,5.9
31,LaMelo Ball,2.6,0.0,2.6,1.4,-1.8,-0.4,2.5,-0.4,2.1,5.7
32,James Harden,4.0,-1.4,2.6,1.2,-0.6,0.6,3.6,-1.3,2.3,5.7
33,Al Horford,-0.9,4.5,3.6,1.0,1.0,2.0,-0.6,3.9,3.4,5.7
34,Kyle Lowry,2.0,0.8,2.8,0.5,1.5,2.0,1.8,1.0,2.8,5.7
35,Alec Burks,1.2,0.8,2.0,1.3,2.2,3.5,1.3,1.1,2.4,5.5
36,Anthony Edwards,1.3,0.4,1.7,1.8,1.1,2.8,1.4,0.6,2.0,5.5
37,Cameron Johnson,2.5,2.0,4.5,-1.0,2.5,1.5,1.9,2.1,4.0,5.5
38,Ja Morant,4.9,-0.9,4.0,1.9,-3.6,-1.8,4.5,-1.6,2.9,5.5
39,Robert Williams III,0.1,2.6,2.7,1.7,3.2,4.9,0.5,2.8,3.2,5.5
40,Jalen Brunson,1.8,-0.3,1.5,3.9,-1.1,2.8,2.4,-0.6,1.8,5.4
41,CJ McCollum,3.3,-0.4,2.9,2.8,-1.9,0.9,3.4,-0.7,2.7,5.4
42,Bam Adebayo,-0.6,3.8,3.2,-0.4,4.2,3.8,-0.6,4.0,3.4,5.3
43,Steven Adams,0.7,1.6,2.3,6.4,-2.9,3.5,1.9,0.7,2.6,5.2
44,Jaylen Brown,1.5,0.5,2.0,0.0,3.1,3.0,1.2,1.0,2.2,5.2
45,Tyrese Haliburton,2.8,-0.8,2.0,-0.8,-1.4,-2.2,2.3,-1.0,1.3,5.1
46,Jonas Valanciunas,0.3,1.1,1.4,3.1,0.6,3.7,0.9,1.1,2.0,5.1
47,Garrison Mathews,0.7,3.5,4.1,2.3,-2.9,-0.6,1.1,2.4,3.5,5.0
48,Immanuel Quickley,1.6,0.4,2.0,2.3,6.0,8.3,1.8,1.6,3.5,5.0
49,Mitchell Robinson,0.7,3.2,3.9,0.1,-2.1,-2.0,0.6,2.3,2.8,5.0
50,D'Angelo Russell,2.9,-1.0,2.0,2.7,0.3,3.0,3.0,-0.8,2.2,5.0
51,Jaren Jackson Jr.,-0.5,1.9,1.4,1.7,2.0,3.7,-0.1,2.0,1.9,4.8
52,Franz Wagner,-0.4,0.9,0.5,3.7,-0.6,3.1,0.5,0.7,1.2,4.8
53,Clint Capela,-0.3,2.3,2.0,4.0,-1.5,2.5,0.5,1.7,2.2,4.7
54,Herbert Jones,-1.6,2.5,0.9,1.8,1.8,3.6,-1.0,2.5,1.5,4.7
55,Gary Payton II,1.1,4.3,5.4,1.3,3.3,4.5,1.2,4.3,5.5,4.7
56,Patrick Beverley,2.6,1.7,4.2,0.3,1.0,1.3,2.2,1.6,3.8,4.6
57,Spencer Dinwiddie,2.5,-0.5,2.1,-1.0,2.1,1.1,2.0,0.0,2.0,4.6
58,De'Anthony Melton,0.9,2.0,2.9,1.1,2.9,4.0,0.9,2.3,3.2,4.6
59,Jusuf Nurkic,-0.7,3.0,2.3,1.2,3.0,4.3,-0.3,3.3,3.0,4.6
