player name,player name,proba (%),box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
Nikola Jokic,Nikola Jokic,28.199999999999996,8.9,6.2,15.2,8.8,4.1,12.9,9.3,6.1,15.5,14.4
Fred VanVleet,Fred VanVleet,2.0,4.8,1.3,6.1,3.0,4.9,7.8,4.7,2.1,6.8,8.7
Stephen Curry,Stephen Curry,3.2,5.7,-0.1,5.6,8.0,4.1,12.0,6.5,0.7,7.2,8.6
Jayson Tatum,Jayson Tatum,1.3,3.3,1.7,5.0,4.7,2.7,7.4,3.8,2.0,5.8,7.9
Rudy Gobert,Rudy Gobert,1.0999999999999999,0.6,7.5,8.1,2.6,3.9,6.5,1.0,7.3,8.2,7.6
Giannis Antetokounmpo,Giannis Antetokounmpo,1.9,5.0,2.4,7.4,2.6,3.0,5.5,4.8,2.6,7.4,7.4
Joel Embiid,Joel Embiid,1.5,5.1,1.3,6.4,2.8,1.9,4.7,4.9,1.5,6.4,6.2
LeBron James,LeBron James,1.5,5.4,1.5,6.9,4.6,-2.7,1.8,5.6,0.7,6.3,6.1
Trae Young,Trae Young,1.5,7.2,-2.9,4.3,7.3,-5.3,2.0,7.6,-3.5,4.1,5.8
Domantas Sabonis,Domantas Sabonis,0.6,2.7,1.5,4.2,-0.1,3.1,3.0,2.3,2.0,4.2,5.7
Mike Conley,Mike Conley,1.0,4.2,0.6,4.7,3.2,3.2,6.5,4.2,1.1,5.3,5.5
Jarrett Allen,Jarrett Allen,0.4,0.4,3.8,4.2,2.3,1.1,3.4,0.8,3.4,4.2,5.2
Darius Garland,Darius Garland,0.8,3.3,-1.0,2.3,5.9,3.3,9.3,4.0,-0.2,3.8,5.1
Derrick White,Derrick White,0.4,1.8,2.8,4.5,-3.5,4.6,1.1,0.7,3.4,4.1,5.1
DeMar DeRozan,DeMar DeRozan,0.7000000000000001,4.1,-2.6,1.5,4.9,3.9,8.8,4.4,-1.4,3.0,5.0
Dejounte Murray,Dejounte Murray,0.5,2.9,0.2,3.1,4.3,-1.8,2.5,3.4,-0.2,3.1,4.9
Chris Paul,Chris Paul,0.7000000000000001,4.4,-1.9,2.5,5.8,-1.2,4.6,4.9,-1.9,3.0,4.9
Luka Doncic,Luka Doncic,0.7000000000000001,5.0,0.4,5.4,-1.7,-0.5,-2.2,3.9,0.2,4.1,4.8
Jrue Holiday,Jrue Holiday,0.7000000000000001,2.2,1.6,3.7,7.0,-0.9,6.1,3.3,1.1,4.4,4.8
Jakob Poeltl,Jakob Poeltl,0.5,0.7,3.0,3.7,7.7,-1.3,6.4,2.2,2.3,4.6,4.7
Mikal Bridges,Mikal Bridges,0.3,0.0,1.4,1.4,5.7,0.2,5.9,1.2,1.2,2.4,4.6
Marcus Smart,Marcus Smart,0.4,0.4,1.5,2.0,3.9,3.1,7.0,1.2,1.9,3.1,4.5
Kevin Durant,Kevin Durant,0.7000000000000001,4.6,-1.1,3.5,0.9,2.9,3.8,4.1,-0.3,3.8,4.4
Ja Morant,Ja Morant,0.7000000000000001,4.7,-0.4,4.3,3.9,-4.3,-0.4,4.8,-1.3,3.5,4.4
Miles Bridges,Miles Bridges,0.3,1.1,0.0,1.0,5.8,-1.4,4.4,2.1,-0.3,1.8,4.3
Jimmy Butler,Jimmy Butler,0.7000000000000001,4.8,0.8,5.6,0.2,-0.5,-0.2,4.1,0.5,4.7,4.3
Anthony Edwards,Anthony Edwards,0.4,1.6,0.0,1.6,4.3,0.9,5.3,2.2,0.2,2.4,4.3
Jarred Vanderbilt,Jarred Vanderbilt,0.5,0.4,3.0,3.4,6.2,0.6,6.7,1.6,2.7,4.2,4.3
Jonas Valanciunas,Jonas Valanciunas,0.3,0.4,2.2,2.5,2.1,1.3,3.3,0.8,2.2,2.9,4.2
Andrew Wiggins,Andrew Wiggins,0.3,0.9,2.1,3.0,-0.5,1.7,1.2,0.6,2.0,2.6,4.2
