,Player,Season,Team,Offensive Archetype,Minutes,Pos,Age,LEBRON,O-LEBRON,D-LEBRON,Wins Added,boxLEBRON,boxOLEBRON,boxDLEBRON
0,Giannis Antetokounmpo,2019-20,MIL,Shot Creator,1917,PF,25,9.03,4.78,4.25,13.3,7.84,5.02,2.82
1,LeBron James,2009-10,CLE,Shot Creator,2966,SF,25,8.84,7.31,1.52,20.7,7.2,5.89,1.31
2,Giannis Antetokounmpo,2018-19,MIL,Shot Creator,2358,PF,24,7.83,4.19,3.65,15.0,6.96,4.36,2.61
3,LeBron James,2012-13,MIA,Shot Creator,2877,PF,28,7.4,6.18,1.22,18.1,6.5,5.58,0.92
4,Nikola Jokic,2021-22,DEN,Post Scorer,1455,C,26,7.25,5.39,1.86,8.9,6.37,4.91,1.45
5,James Harden,2019-20,HOU,Shot Creator,2483,SG,30,6.98,6.53,0.46,14.6,5.87,6.22,-0.34
6,Chris Paul,2012-13,LAC,Shot Creator,2335,PG,27,6.92,5.88,1.04,14.1,5.74,4.77,0.97
7,Kawhi Leonard,2019-20,LAC,Shot Creator,1848,SF,28,6.86,5.21,1.65,10.7,5.29,4.28,1.01
8,LeBron James,2015-16,CLE,Shot Creator,2709,SF,31,6.83,5.3,1.54,16.1,4.87,4.25,0.62
9,Nikola Jokic,2020-21,DEN,Post Scorer,2488,C,25,6.83,6.19,0.64,14.3,5.87,5.24,0.64
10,Stephen Curry,2014-15,GSW,Primary Ball Handler,2613,PG,26,6.8,5.83,0.97,15.6,5.84,5.38,0.47
11,Kevin Durant,2013-14,OKC,Shot Creator,3122,SF,25,6.77,6.33,0.44,18.5,5.72,5.3,0.42
12,Stephen Curry,2015-16,GSW,Primary Ball Handler,2700,PG,27,6.77,6.75,0.03,16.0,6.99,7.06,-0.07
13,Chris Paul,2010-11,NOH,Shot Creator,2880,PG,25,6.76,4.35,2.41,17.0,4.56,3.04,1.52
14,Stephen Curry,2016-17,GSW,Primary Ball Handler,2639,PG,28,6.68,6.27,0.42,15.3,5.04,5.06,-0.02
15,Chris Paul,2013-14,LAC,Shot Creator,2171,PG,28,6.61,4.68,1.93,12.7,5.29,4.44,0.85
16,Dwight Howard,2010-11,ORL,Post Scorer,2935,C,25,6.57,2.18,4.39,17.0,5.65,1.9,3.76
17,Anthony Davis,2014-15,NOP,Roll + Cut Big,2455,PF,21,6.57,3.74,2.83,14.3,5.26,3.13,2.13
18,Russell Westbrook,2015-16,OKC,Shot Creator,2749,PG,27,6.42,5.89,0.53,15.7,5.53,5.15,0.38
19,Dwyane Wade,2009-10,MIA,Shot Creator,2792,SG,28,6.36,5.76,0.6,15.8,4.54,3.83,0.7
20,James Harden,2017-18,HOU,Shot Creator,2551,SG,28,6.32,6.6,-0.28,14.3,6.96,6.73,0.23
21,James Harden,2018-19,HOU,Shot Creator,2867,PG,29,6.31,6.83,-0.52,15.8,6.41,7.04,-0.63
22,LeBron James,2011-12,MIA,Shot Creator,2326,SF,27,6.28,5.37,0.91,13.3,5.63,4.34,1.3
23,LeBron James,2010-11,MIA,Shot Creator,3063,SF,26,6.26,5.03,1.23,17.2,5.51,4.36,1.15
24,Chris Paul,2016-17,LAC,Shot Creator,1921,PG,31,6.26,4.64,1.62,10.6,5.22,4.5,0.72
25,Kawhi Leonard,2016-17,SAS,Shot Creator,2474,SF,25,6.15,4.83,1.32,13.6,5.61,4.29,1.32
26,Kawhi Leonard,2015-16,SAS,Shot Creator,2380,SF,24,6.06,2.73,3.33,13.1,5.79,3.4,2.39
27,Rudy Gobert,2020-21,UTA,Roll + Cut Big,2187,C,28,6.01,0.92,5.08,11.6,5.23,1.13,4.1
28,Chris Paul,2015-16,LAC,Shot Creator,2420,PG,30,6.0,4.79,1.21,13.3,4.76,4.23,0.53
29,Chris Paul,2011-12,LAC,Shot Creator,2180,PG,26,5.95,6.04,-0.08,12.0,4.75,4.56,0.18
30,Draymond Green,2015-16,GSW,Stretch Big,2808,PF,25,5.92,2.01,3.91,15.3,4.61,2.11,2.5
31,Kawhi Leonard,2014-15,SAS,Shot Creator,2033,SF,23,5.9,2.43,3.47,11.1,4.26,1.9,2.36
32,Joel Embiid,2021-22,PHI,Post Scorer,1251,C,27,5.85,4.57,1.29,6.6,5.35,4.35,1.0
33,Anthony Davis,2018-19,NOP,Post Scorer,1850,C,25,5.83,3.45,2.37,9.7,5.47,3.65,1.82
34,Russell Westbrook,2016-17,OKC,Shot Creator,2802,PG,28,5.79,5.63,0.16,14.8,5.5,5.4,0.1
35,LeBron James,2016-17,CLE,Shot Creator,2795,SF,32,5.78,5.56,0.22,14.7,4.44,4.44,0.0
36,Chris Paul,2014-15,LAC,Shot Creator,2857,PG,29,5.76,5.19,0.57,15.3,5.18,4.84,0.35
37,Rudy Gobert,2016-17,UTA,Roll + Cut Big,2744,C,24,5.76,1.21,4.55,14.4,4.47,0.82,3.65
38,Manu Ginobili,2010-11,SAS,Primary Ball Handler,2425,SG,33,5.71,3.89,1.82,12.8,3.99,3.42,0.57
39,Joel Embiid,2018-19,PHI,Post Scorer,2154,C,24,5.68,3.08,2.6,11.1,4.64,3.02,1.62
40,Dwight Howard,2009-10,ORL,Post Scorer,2843,C,24,5.66,1.25,4.4,14.9,5.82,1.7,4.13
41,Kevin Durant,2009-10,OKC,Secondary Ball Handler,3239,SF,21,5.63,4.68,0.95,16.9,3.68,3.19,0.5
42,Joel Embiid,2020-21,PHI,Post Scorer,1585,C,26,5.63,4.11,1.52,8.0,5.18,3.94,1.24
43,Giannis Antetokounmpo,2020-21,MIL,Slasher,2013,PF,26,5.55,3.55,2.0,10.1,5.95,4.35,1.6
44,Paul George,2018-19,OKC,Shot Creator,2841,SF,28,5.53,4.21,1.32,14.4,4.13,3.28,0.85
45,Russell Westbrook,2014-15,OKC,Shot Creator,2302,PG,26,5.52,5.92,-0.39,12.0,4.39,4.61,-0.22
46,LeBron James,2019-20,LAL,Shot Creator,2316,PG,35,5.5,4.48,1.02,11.7,4.8,4.22,0.58
47,Rudy Gobert,2021-22,UTA,Roll + Cut Big,1364,C,29,5.49,2.01,3.47,6.9,5.29,1.94,3.35
48,James Harden,2016-17,HOU,Shot Creator,2947,PG,27,5.48,6.2,-0.72,15.0,5.75,5.92,-0.16
49,Stephen Curry,2013-14,GSW,Shot Creator,2846,PG,25,5.47,4.78,0.68,14.7,3.95,3.74,0.22
50,LeBron James,2014-15,CLE,Shot Creator,2493,SF,30,5.45,4.41,1.04,12.9,4.23,4.09,0.14
51,Kevin Durant,2012-13,OKC,Shot Creator,3119,SF,24,5.42,4.57,0.85,16.1,5.85,4.46,1.39
52,LeBron James,2013-14,MIA,Shot Creator,2902,PF,29,5.42,5.64,-0.23,14.9,4.79,4.87,-0.08
53,Jimmy Butler,2020-21,MIA,Shot Creator,1745,SF,31,5.42,3.77,1.65,8.6,4.58,3.56,1.02
54,James Harden,2014-15,HOU,Shot Creator,2981,SG,25,5.39,5.69,-0.29,15.3,4.85,4.45,0.41
55,Stephen Curry,2017-18,GSW,Primary Ball Handler,1631,PG,29,5.34,6.05,-0.71,8.2,4.67,5.55,-0.88
56,Giannis Antetokounmpo,2021-22,MIL,Slasher,1370,PF,27,5.32,3.61,1.71,6.8,5.76,4.19,1.57
57,Kevin Garnett,2010-11,BOS,Post Scorer,2220,PF,34,5.31,1.09,4.22,11.2,3.08,0.2,2.88
58,LeBron James,2020-21,LAL,Shot Creator,1504,PG,36,5.31,3.93,1.38,7.3,3.92,3.24,0.68
59,Chris Paul,2017-18,HOU,Shot Creator,1847,PG,32,5.29,4.29,1.0,9.2,5.17,4.52,0.65
