,player name,season,minutes,box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
902,Stephen Curry,2016,3314,10.53,1.69,12.22,7.78,3.41,11.19,10.38,2.11,12.49,23.66
1528,James Harden,2019,3291,9.96,1.79,11.75,5.38,-1.77,3.61,9.57,1.15,10.72,20.06
901,Stephen Curry,2015,3439,8.5,1.68,10.18,7.22,5.11,12.33,8.6,2.44,11.04,19.91
2992,Chris Paul,2015,3302,7.51,2.4,9.91,11.09,0.31,11.4,8.56,2.11,10.67,19.42
1442,Draymond Green,2016,3687,2.65,4.76,7.41,8.46,6.77,15.23,3.93,5.42,9.36,17.82
1337,Paul George,2019,3045,5.09,3.34,8.44,4.8,6.69,11.49,5.33,4.21,9.54,17.38
1527,James Harden,2018,3172,9.39,1.45,10.84,3.94,0.57,4.51,8.75,1.32,10.07,17.05
1529,James Harden,2020,2931,9.54,1.22,10.76,1.6,4.58,6.18,8.49,1.98,10.47,16.71
1524,James Harden,2015,3617,7.44,0.23,7.67,6.69,-1.89,4.8,7.74,-0.23,7.5,16.13
900,Stephen Curry,2014,3142,6.65,0.63,7.28,10.27,0.16,10.43,7.76,0.52,8.28,16.09
1087,Kevin Durant,2014,3937,7.04,-0.07,6.97,5.57,-1.18,4.38,7.13,-0.34,6.78,16.01
2015,Nikola Jokic,2021,2833,8.35,1.93,10.28,7.57,-4.76,2.81,8.6,0.65,9.25,15.76
903,Stephen Curry,2017,3239,8.34,-0.27,8.07,11.21,0.96,12.17,9.31,-0.1,9.21,15.62
2250,Kawhi Leonard,2016,2719,5.49,4.53,10.02,2.58,4.6,7.18,5.13,4.72,9.85,15.53
2991,Chris Paul,2014,2643,7.85,3.25,11.09,5.4,4.43,9.83,7.72,3.67,11.39,15.3
1526,James Harden,2017,3354,8.17,-0.18,7.99,2.35,-0.45,1.91,7.36,-0.25,7.11,15.2
2993,Chris Paul,2016,2545,7.08,1.35,8.43,8.23,2.33,10.56,7.7,1.6,9.3,14.55
923,Anthony Davis,2015,2627,3.64,4.44,8.08,3.83,4.32,8.15,3.84,4.71,8.55,14.53
1905,LeBron James,2016,3531,5.17,1.46,6.63,8.04,4.67,12.7,5.95,2.2,8.16,14.18
